City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mehamn,NO,2023-03-22 06:51:33,71.0357,27.8492,19.31,79,75,16.11
68,Banda Aceh,ID,2023-03-22 06:51:34,5.5577,95.3222,84.76,70,53,6.15
69,Shubarshi,KZ,2023-03-22 06:51:34,48.5872,57.1869,47.7,44,7,6.71
70,San Quintin,MX,2023-03-22 06:51:35,30.4833,-115.95,57.67,85,100,13.02
71,Constitucion,CL,2023-03-22 06:48:38,-35.3333,-72.4167,59.47,52,0,6.71
72,Murgab,TM,2023-03-22 06:51:36,37.4966,61.9714,67.87,34,0,9.22
73,Klaksvik,FO,2023-03-22 06:51:36,62.2266,-6.589,47.32,98,100,35.75
74,Jamestown,US,2023-03-22 06:51:37,42.097,-79.2353,38.84,69,0,4.61
75,Luau,AO,2023-03-22 06:51:37,-10.7073,22.2247,67.69,89,98,2.24
76,East London,ZA,2023-03-22 06:51:38,-33.0153,27.9116,67.14,72,0,2.3
77,Pisco,PE,2023-03-22 06:51:39,-13.7,-76.2167,73.45,83,0,4.61
78,Cuamba,MZ,2023-03-22 06:51:40,-14.8031,36.5372,72.43,92,97,1.39
79,Bathsheba,BB,2023-03-22 06:51:41,13.2167,-59.5167,77.61,69,40,19.57
80,Arraial Do Cabo,BR,2023-03-22 06:51:41,-22.9661,-42.0278,74.48,88,6,7.58
81,Tromso,NO,2023-03-22 06:50:39,69.6496,18.957,23.38,93,100,4.61
82,Yellowknife,CA,2023-03-22 06:51:42,62.456,-114.3525,7.32,66,75,10.36
83,Piacabucu,BR,2023-03-22 06:51:43,-10.4056,-36.4344,76.12,85,96,4.34
84,Esfarayen,IR,2023-03-22 06:51:43,37.0765,57.5101,49.66,51,100,7.81
85,Isla Mujeres,MX,2023-03-22 06:51:43,21.2311,-86.731,71.17,72,85,12.68
86,Touros,BR,2023-03-22 06:51:44,-5.1989,-35.4608,74.66,90,100,7.07
87,Port Lincoln,AU,2023-03-22 06:51:44,-34.7333,135.8667,67.66,70,16,14.65
88,Mumford,GH,2023-03-22 06:51:45,5.2618,-0.759,79.95,84,100,7.05
89,Kodiak,US,2023-03-22 06:51:45,57.79,-152.4072,33.31,93,100,32.21
90,North Bend,US,2023-03-22 06:47:04,43.4065,-124.2243,48.11,93,0,9.22
91,Srednekolymsk,RU,2023-03-22 06:51:46,67.45,153.6833,-6.23,90,100,15.59
92,Mitu,CO,2023-03-22 06:51:46,1.1983,-70.1733,70.18,85,73,1.12
93,Souillac,MU,2023-03-22 06:52:47,-20.5167,57.5167,84.58,70,75,11.5
94,Tigil,RU,2023-03-22 06:52:47,57.8,158.6667,15.85,95,100,8.79
95,Clyde River,CA,2023-03-22 06:52:48,70.4692,-68.5914,-14.57,70,0,2.3
96,Cayenne,GF,2023-03-22 06:52:49,4.9333,-52.3333,75.24,94,91,2.3
97,Tuktoyaktuk,CA,2023-03-22 06:52:50,69.4541,-133.0374,10.89,96,96,6.53
98,Kapaa,US,2023-03-22 06:48:24,22.0752,-159.319,76.1,85,75,11.5
99,Port Macquarie,AU,2023-03-22 06:52:53,-31.4333,152.9167,73.89,67,28,10.22
100,Flin Flon,CA,2023-03-22 06:52:54,54.7682,-101.865,12.36,97,98,3.36
101,Lamu,KE,2023-03-22 06:52:54,-2.2717,40.902,86.22,72,100,14.88
102,Imeni Poliny Osipenko,RU,2023-03-22 06:52:54,52.4201,136.4853,25.95,93,100,15.57
103,Talnakh,RU,2023-03-22 06:52:55,69.4865,88.3972,22.21,92,93,16.8
104,Broome,US,2023-03-22 06:52:56,42.2506,-75.833,40.21,71,0,4.61
105,Bauchi,NG,2023-03-22 06:52:56,10.5,10.0,77.63,49,100,5.28
106,Isangel,VU,2023-03-22 06:52:56,-19.55,169.2667,84.31,79,75,4.61
107,Kiama,AU,2023-03-22 06:52:57,-34.6833,150.8667,72.0,87,92,3.0
108,Fort Nelson,CA,2023-03-22 06:52:57,58.8053,-122.7002,25.95,72,0,2.3
109,Shimoda,JP,2023-03-22 06:52:58,34.6667,138.95,68.36,71,27,11.32
110,Cabo San Lucas,MX,2023-03-22 06:52:58,22.8909,-109.9124,65.17,80,5,13.38
111,Zlatoust,RU,2023-03-22 06:52:58,55.1711,59.6508,36.99,73,100,9.84
112,Korla,CN,2023-03-22 06:52:59,41.7597,86.1469,54.19,21,9,8.93
113,Upernavik,GL,2023-03-22 06:52:59,72.7868,-56.1549,-18.15,99,59,6.33
114,Longyearbyen,SJ,2023-03-22 06:53:00,78.2186,15.6401,-0.56,65,40,9.22
115,Bengkulu,ID,2023-03-22 06:49:25,-3.8004,102.2655,84.15,75,48,6.69
116,Vaini,TO,2023-03-22 06:53:01,-21.2,-175.2,78.96,94,75,4.61
117,Manokwari,ID,2023-03-22 06:49:26,-0.8667,134.0833,82.33,75,94,5.91
118,Pychas,RU,2023-03-22 06:53:01,56.5033,52.4409,37.65,89,26,13.67
119,Victoria,HK,2023-03-22 06:53:01,22.2855,114.1577,79.2,88,72,10.0
120,Okato,NZ,2023-03-22 06:53:02,-39.2,173.8833,57.9,78,0,5.01
121,Husavik,IS,2023-03-22 06:53:03,66.0449,-17.3389,26.31,81,100,25.99
122,Sorland,NO,2023-03-22 06:53:03,67.667,12.6934,30.06,63,90,15.84
123,Hervey Bay,AU,2023-03-22 06:53:04,-25.2986,152.8535,76.78,81,34,17.94
124,Mar Del Plata,AR,2023-03-22 06:50:55,-38.0023,-57.5575,65.95,71,0,1.99
125,Port Alfred,ZA,2023-03-22 06:53:05,-33.5906,26.891,70.18,79,10,1.99
126,Maloy,NO,2023-03-22 06:53:06,61.9353,5.1136,44.73,55,100,10.92
127,Ahipara,NZ,2023-03-22 06:53:06,-35.1667,173.1667,60.4,69,4,7.34
128,Jagannathpur,IN,2023-03-22 06:53:07,22.2333,85.65,87.73,26,55,12.53
129,New Norfolk,AU,2023-03-22 06:53:07,-42.7826,147.0587,60.93,58,100,3.0
130,Quatre Cocos,MU,2023-03-22 06:53:08,-20.2078,57.7625,84.31,74,25,9.42
131,Rio Grande,BR,2023-03-22 06:53:08,-32.035,-52.0986,70.07,84,100,10.94
132,Gat,IL,2023-03-22 06:53:09,31.61,34.7642,66.4,5,6,1.61
133,Rongcheng,CN,2023-03-22 06:53:09,30.634,117.8517,57.88,96,100,3.42
134,Seydi,TM,2023-03-22 06:53:10,39.4816,62.9137,68.97,32,72,15.52
135,Santa Vitoria,BR,2023-03-22 06:54:11,-18.8386,-50.1214,68.09,92,68,1.59
136,Hobart,AU,2023-03-22 06:54:11,-42.8794,147.3294,61.27,71,75,5.75
137,Nikolskoye,RU,2023-03-22 06:54:12,59.7035,30.7861,30.09,79,100,7.11
138,Walvis Bay,NA,2023-03-22 06:54:12,-22.9575,14.5053,60.1,81,100,6.31
139,San Patricio,US,2023-03-22 06:54:13,28.017,-97.5169,71.55,92,100,16.98
140,Nabire,ID,2023-03-22 06:54:13,-3.3667,135.4833,84.04,71,97,5.97
141,Kavieng,PG,2023-03-22 06:54:14,-2.5744,150.7967,84.45,64,62,4.03
142,Bluff,NZ,2023-03-22 06:54:14,-46.6,168.3333,54.19,72,87,15.57
143,Kruisfontein,ZA,2023-03-22 06:54:15,-34.0033,24.7314,68.45,60,0,1.5
144,Buchanan,LR,2023-03-22 06:54:15,5.8808,-10.0467,78.3,86,78,4.97
145,Nemuro,JP,2023-03-22 06:54:16,43.3236,145.575,36.91,93,36,8.14
146,Zyryanka,RU,2023-03-22 06:54:17,65.75,150.85,-1.93,88,100,12.75
147,Ilulissat,GL,2023-03-22 06:54:17,69.2167,-51.1,15.82,86,100,6.91
148,Nanortalik,GL,2023-03-22 06:54:18,60.1432,-45.2371,25.05,86,100,5.79
149,Mabaruma,GY,2023-03-22 06:54:19,8.2,-59.7833,68.76,98,13,1.97
150,Bambous Virieux,MU,2023-03-22 06:54:19,-20.3428,57.7575,85.21,70,75,11.5
151,Caravelas,BR,2023-03-22 06:54:19,-17.7125,-39.2481,72.86,94,42,3.13
152,Sistranda,NO,2023-03-22 06:54:20,63.7256,8.834,30.16,96,100,12.55
153,Sarakhs,IR,2023-03-22 06:54:21,36.5449,61.1577,64.11,36,100,6.51
154,Minsk,BY,2023-03-22 06:54:21,53.9,27.5667,40.75,74,43,6.67
155,Shache,CN,2023-03-22 06:54:22,38.4167,77.2406,60.91,12,3,6.53
156,Gao,ML,2023-03-22 06:54:22,16.6362,1.637,71.33,20,0,9.62
157,Brae,GB,2023-03-22 06:54:23,60.3964,-1.353,44.8,95,100,21.94
158,Englehart,CA,2023-03-22 06:54:23,47.8169,-79.8664,5.56,85,0,0.0
159,Asfi,MA,2023-03-22 06:54:24,32.2994,-9.2372,56.68,71,0,13.44
160,Tarakan,ID,2023-03-22 06:54:27,3.3,117.6333,85.5,79,40,6.91
161,Sulangan,PH,2023-03-22 06:54:27,11.1373,123.7228,81.59,73,9,5.55
162,Kushiro,JP,2023-03-22 06:54:28,42.975,144.3747,47.35,66,0,13.8
163,Carutapera,BR,2023-03-22 06:53:23,-1.195,-46.02,73.11,94,86,1.05
164,Qaanaaq,GL,2023-03-22 06:54:28,77.484,-69.3632,-2.99,71,0,5.55
165,Colares,PT,2023-03-22 06:54:29,38.7992,-9.4469,55.26,85,3,11.01
166,Atbasar,KZ,2023-03-22 06:54:29,51.8,68.3333,26.85,72,10,6.06
167,Qaqortoq,GL,2023-03-22 06:54:30,60.7167,-46.0333,21.72,68,98,10.51
168,Hit,IQ,2023-03-22 06:54:30,33.6416,42.8251,65.73,43,11,10.78
169,Rocha,UY,2023-03-22 06:54:31,-34.4833,-54.3333,58.5,75,98,2.33
