City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
447,Smithers,CA,54.7804,-127.1743,39.52,60,0,8.05,clear sky
448,Kiruna,SE,67.8557,20.2251,4.12,92,20,3.44,few clouds
449,Miranda,CO,3.2499,-76.2281,68.13,92,100,1.3,overcast clouds
450,Esmeraldas,BR,-19.7625,-44.3139,72.46,86,15,2.82,light rain
451,Jeremie,HT,18.65,-74.1167,74.79,81,2,5.59,clear sky
452,Soller,ES,39.7662,2.7152,56.03,74,0,1.01,clear sky
453,Port Macquarie,AU,-31.4333,152.9167,70.9,96,100,7.05,overcast clouds
454,Ottumwa,US,41.02,-92.4113,40.1,85,100,12.66,moderate rain
455,Halifax,CA,44.6453,-63.5724,31.33,80,31,7.0,scattered clouds
456,Sinegorye,RU,62.0788,150.477,-5.33,75,4,3.38,clear sky
457,Toronto,CA,43.7001,-79.4163,34.99,72,75,20.71,broken clouds
458,Lukovetskiy,RU,64.2956,41.9211,29.53,96,98,8.34,light snow
459,Cervantes,AR,-39.05,-67.3833,67.68,36,0,10.71,clear sky
460,Oriximina,BR,-1.7656,-55.8661,73.13,92,72,2.21,moderate rain
461,Govindgarh,IN,27.5,76.9833,80.67,38,7,6.46,clear sky
462,Gharo,PK,24.7424,67.5856,80.82,39,0,10.13,clear sky
463,Havre-Saint-Pierre,CA,50.2334,-63.5986,24.8,86,0,8.05,clear sky
464,Kenai,US,60.5544,-151.2583,33.89,74,100,17.27,overcast clouds
465,Shimoda,JP,34.6667,138.95,52.16,90,100,20.8,overcast clouds
466,Kutum,SD,14.2,24.6667,68.13,22,26,12.62,scattered clouds
467,Tumarbong,PH,10.3766,119.4579,87.71,64,21,8.46,few clouds
468,Mareeba,AU,-17.0,145.4333,87.44,52,1,7.47,clear sky
469,Mankono,CI,8.0586,-6.1897,72.9,90,60,3.02,broken clouds
470,Castro Alves,BR,-12.7656,-39.4283,70.25,97,49,4.14,scattered clouds
471,Zhangye,CN,38.9342,100.4517,52.86,17,0,3.22,clear sky
472,Arlit,NE,18.7369,7.3853,70.99,24,44,11.61,scattered clouds
473,Abatskoye,RU,56.2875,70.4555,34.83,100,100,13.38,overcast clouds
474,Barcelos,PT,41.5388,-8.6151,49.84,93,69,3.94,broken clouds
475,Kaihua,CN,23.3687,104.28,79.74,32,18,16.04,few clouds
476,Kez,RU,57.8979,53.7152,36.73,98,100,9.66,overcast clouds
477,Touros,BR,-5.1989,-35.4608,76.48,86,73,2.66,broken clouds
478,Gornopravdinsk,RU,60.05,69.9,36.99,97,100,10.18,overcast clouds
479,Stawell,AU,-37.05,142.7667,70.88,32,56,12.97,broken clouds
480,San Fernando,PH,15.0286,120.6898,91.13,35,26,11.52,scattered clouds
481,Bandhi,PK,26.5861,68.3006,76.87,20,0,7.05,clear sky
482,Mgandu,TZ,-5.95,34.1333,61.39,96,53,5.59,broken clouds
483,Gumdag,TM,39.2061,54.5906,64.29,19,88,8.9,overcast clouds
484,Altay,CN,47.8667,88.1167,36.39,52,11,1.59,few clouds
485,Half Moon Bay,US,37.4636,-122.4286,49.32,73,75,18.41,broken clouds
486,Dingle,PH,10.9995,122.6711,88.56,59,37,13.35,scattered clouds
487,Takoradi,GH,4.8845,-1.7554,79.43,86,79,5.23,broken clouds
488,Durango,MX,24.8333,-104.8333,50.63,15,83,6.46,broken clouds
489,Fairbanks,US,64.8378,-147.7164,16.14,60,20,4.61,few clouds
